# Request counts per minute across the API, twelve hours of traffic.
# Columns: start_ts, end_ts, value (int requests in that minute).
# 720 contiguous one-minute intervals starting at t=0.
7080,7140,2095
7140,7200,2012
7200,7260,2051
7260,7320,2089
7320,7380,2095
7380,7440,2012
7440,7500,2051
7500,7560,2057
7560,7620,2095
7620,7680,2012
7680,7740,2050
7740,7800,2057
7800,7860,2095
7860,7920,1233
7920,7980,1150
7980,8040,1156
8040,8100,1195
8100,8160,1233
8160,8220,1150
8220,8280,1156
8280,8340,1194
8340,8400,1232
8400,8460,1150
8460,8520,1156
8520,8580,1194
8580,8640,1232
8640,8700,1149
8700,8760,1155
8760,8820,1193
8820,8880,1231
8880,8940,1270
8940,9000,1155
9000,9060,1193
9060,9120,1231
9120,9180,1269
9180,9240,1275
9240,9300,1192
9300,9360,1230
9360,9420,1268
9420,9480,1274
9480,9540,1191
9540,9600,1229
9600,9660,1267
9660,9720,1273
9720,9780,1190
9780,9840,1228
9840,9900,1234
9900,9960,1272
9960,10020,1189
10020,10080,1227
10080,10140,1233
10140,10200,1271
10200,10260,1309
10260,10320,1226
10320,10380,1232
10380,10440,1270
10440,10500,1308
10500,10560,1224
10560,10620,1230
10620,10680,1268
10680,10740,1306
10740,10800,1223
10800,10860,1229
10860,10920,1267
10920,10980,1304
10980,11040,1221
11040,11100,1227
11100,11160,1265
11160,11220,1303
11220,11280,1341
11280,11340,1346
11340,11400,1263
11400,11460,1301
11460,11520,1339
11520,11580,1344
11580,11640,1261
11640,11700,1299
11700,11760,1337
11760,11820,1342
11820,11880,1259
11880,11940,1297
11940,12000,1334
12000,12060,1340
12060,12120,1257
12120,12180,1294
12180,12240,1300
12240,12300,1338
12300,12360,1375
12360,12420,1292
12420,12480,1298
12480,12540,1335
12540,12600,1373
12600,12660,1290
12660,12720,1295
12720,12780,1333
12780,12840,1370
12840,12900,1287
12900,12960,1292
12960,13020,1330
13020,13080,1367
13080,13140,1284
13140,13200,1289
13200,13260,1327
13260,13320,1364
13320,13380,1402
13380,13440,1286
13440,13500,1324
13500,13560,1361
13560,13620,1399
13620,13680,1404
13680,13740,1321
13740,13800,1358
13800,13860,1396
13860,13920,1401
13920,13980,1317
13980,14040,1355
14040,14100,1392
14100,14160,1397
14160,14220,1314
14220,14280,1351
14280,14340,1388
14340,14400,1394
14400,14460,1310
14460,14520,1347
14520,14580,1385
14580,14640,1390
14640,14700,1427
14700,14760,1344
14760,14820,1349
14820,14880,1386
14880,14940,1423
14940,15000,1339
15000,15060,1345
15060,15120,1382
15120,15180,1419
15180,15240,1335
15240,15300,1340
15300,15360,1378
15360,15420,1415
15420,15480,1331
15480,15540,1336
15540,15600,1373
15600,15660,1410
15660,15720,1447
15720,15780,1452
15780,15840,1369
15840,15900,1406
15900,15960,1443
15960,16020,1448
16020,16080,1364
16080,16140,1401
16140,16200,1438
16200,16260,1443
16260,16320,1359
16320,16380,1396
16380,16440,1433
16440,16500,1438
16500,16560,1354
16560,16620,1391
16620,16680,1428
16680,16740,1433
16740,16800,1469
16800,16860,1385
16860,16920,1422
16920,16980,1427
16980,17040,1464
17040,17100,1380
17100,17160,1385
17160,17220,1421
17220,17280,1458
17280,17340,1374
17340,17400,1379
17400,17460,1416
17460,17520,1453
17520,17580,1368
17580,17640,1373
17640,17700,1410
17700,17760,1447
17760,17820,1483
17820,17880,1367
17880,17940,1404
17940,18000,1440
18000,18060,1477
18060,18120,1482
18120,18180,1397
18180,18240,1434
18240,18300,1471
18300,18360,1475
18360,18420,1391
18420,18480,1428
18480,18540,1464
18540,18600,1469
18600,18660,1384
18660,18720,1421
18720,18780,1457
18780,18840,1462
18840,18900,1377
18900,18960,1414
18960,19020,1450
19020,19080,1455
19080,19140,1491
19140,19200,1407
19200,19260,1443
19260,19320,1448
19320,19380,1484
19380,19440,1400
19440,19500,1404
19500,19560,1441
19560,19620,1477
19620,19680,1392
19680,19740,1397
19740,19800,1433
19800,19860,1469
19860,19920,1385
19920,19980,1389
19980,20040,1425
20040,20100,1462
20100,20160,1498
20160,20220,1502
20220,20280,1417
20280,20340,1454
20340,20400,1490
20400,20460,1494
20460,20520,1409
20520,20580,1446
20580,20640,1482
20640,20700,1486
20700,20760,1401
20760,20820,1437
20820,20880,1474
20880,20940,1478
20940,21000,1393
21000,21060,1429
21060,21120,1465
21120,21180,1469
21180,21240,1505
21240,21300,1420
21300,21360,1456
21360,21420,1460
21420,21480,1496
21480,21540,1411
21540,21600,1447
21600,21660,1452
21660,21720,1487
21720,21780,1402
21780,21840,1438
21840,21900,1442
21900,21960,1478
21960,22020,1393
22020,22080,1397
22080,22140,1433
22140,22200,1469
22200,22260,1505
22260,22320,1509
22320,22380,1424
22380,22440,1460
22440,22500,1495
22500,22560,1499
22560,22620,1414
22620,22680,1450
22680,22740,1486
22740,22800,1489
22800,22860,1404
22860,22920,1440
22920,22980,1476
22980,23040,1479
23040,23100,1394
23100,23160,1430
23160,23220,1466
23220,23280,1469
23280,23340,1505
23340,23400,1420
23400,23460,1455
23460,23520,1459
23520,23580,1495
23580,23640,1409
23640,23700,1445
23700,23760,1449
23760,23820,1484
23820,23880,1399
23880,23940,1434
23940,24000,1438
24000,24060,1473
24060,24120,1388
24120,24180,1423
24180,24240,1427
24240,24300,1462
24300,24360,1498
24360,24420,1380
24420,24480,1416
24480,24540,1451
24540,24600,1487
24600,24660,1490
24660,24720,1405
24720,24780,1440
24780,24840,1476
24840,24900,1479
24900,24960,1393
24960,25020,1429
25020,25080,1464
25080,25140,1467
25140,25200,1382
25200,25260,1417
25260,25320,1452
25320,25380,1456
25380,25440,1370
25440,25500,1405
25500,25560,1441
25560,25620,1444
25620,25680,1479
25680,25740,1393
25740,25800,1429
25800,25860,1432
25860,25920,1467
25920,25980,1381
25980,26040,1416
26040,26100,1419
26100,26160,1455
26160,26220,1369
26220,26280,1404
26280,26340,1407
26340,26400,1442
26400,26460,1356
26460,26520,1391
26520,26580,1395
26580,26640,1430
26640,26700,1465
26700,26760,1468
26760,26820,1382
26820,26880,1417
26880,26940,1452
26940,27000,1455
27000,27060,1369
27060,27120,1404
27120,27180,1439
27180,27240,1442
27240,27300,1356
27300,27360,1391
27360,27420,1426
27420,27480,1429
27480,27540,1342
27540,27600,1377
27600,27660,1412
27660,27720,1415
27720,27780,1450
27780,27840,1364
27840,27900,1399
27900,27960,1402
27960,28020,1436
28020,28080,1350
28080,28140,1385
28140,28200,1388
28200,28260,1423
28260,28320,1336
28320,28380,1371
28380,28440,1374
28440,28500,1409
28500,28560,1323
28560,28620,1357
28620,28680,1360
28680,28740,1395
28740,28800,1429
28800,28860,1343
28860,28920,1346
28920,28980,1380
28980,29040,1415
29040,29100,1329
29100,29160,1331
29160,29220,1366
29220,29280,1401
29280,29340,1403
29340,29400,1317
29400,29460,1352
29460,29520,1386
29520,29580,1389
29580,29640,1302
29640,29700,1337
29700,29760,1371
29760,29820,1374
29820,29880,1287
29880,29940,1322
29940,30000,1356
30000,30060,1359
30060,30120,1393
30120,30180,1307
30180,30240,1341
30240,30300,1344
30300,30360,1378
30360,30420,1292
30420,30480,1326
30480,30540,1329
30540,30600,1363
30600,30660,1277
30660,30720,1311
30720,30780,1313
30780,30840,1348
30840,30900,1261
30900,30960,1295
30960,31020,1298
31020,31080,1332
31080,31140,1366
31140,31200,1280
31200,31260,1282
31260,31320,1316
31320,31380,1351
31380,31440,1264
31440,31500,1266
31500,31560,1301
31560,31620,1335
31620,31680,1337
31680,31740,1250
31740,31800,1285
31800,31860,1319
31860,31920,1321
31920,31980,1234
31980,32040,1269
32040,32100,1303
32100,32160,1305
32160,32220,1339
32220,32280,1252
32280,32340,1286
32340,32400,1289
32400,32460,1023
32460,32520,936
32520,32580,970
32580,32640,972
32640,32700,1006
32700,32760,919
32760,32820,954
32820,32880,956
32880,32940,990
32940,33000,903
33000,33060,937
33060,33120,939
33120,33180,973
33180,33240,1007
33240,33300,920
33300,33360,922
33360,33420,956
33420,33480,990
33480,33540,903
33540,33600,905
33600,33660,939
33660,33720,973
33720,33780,886
33780,33840,888
33840,33900,922
33900,33960,956
33960,34020,869
34020,34080,871
34080,34140,905
34140,34200,939
34200,34260,941
34260,34320,854
34320,34380,888
34380,34440,921
34440,34500,923
34500,34560,957
34560,34620,870
34620,34680,904
34680,34740,906
34740,34800,940
34800,34860,853
34860,34920,886
34920,34980,888
34980,35040,922
35040,35100,835
35100,35160,869
35160,35220,871
35220,35280,904
35280,35340,817
35340,35400,851
35400,35460,853
35460,35520,887
35520,35580,920
35580,35640,833
35640,35700,835
35700,35760,869
35760,35820,903
35820,35880,815
35880,35940,817
35940,36000,851
36000,36060,885
36060,36120,1097
36120,36180,1099
36180,36240,1133
36240,36300,1166
36300,36360,1079
36360,36420,1081
36420,36480,1114
36480,36540,1148
36540,36600,1150
36600,36660,1184
36660,36720,1096
36720,36780,1130
36780,36840,1132
36840,36900,1165
36900,36960,1078
36960,37020,1112
37020,37080,1113
37080,37140,1147
37140,37200,1059
37200,37260,1093
37260,37320,1095
37320,37380,1128
37380,37440,1041
37440,37500,1075
37500,37560,1076
37560,37620,1110
37620,37680,1143
37680,37740,1056
37740,37800,1058
37800,37860,1091
37860,37920,1125
37920,37980,1037
37980,38040,1039
38040,38100,1072
38100,38160,1106
38160,38220,1019
38220,38280,1020
38280,38340,1054
38340,38400,1087
38400,38460,1000
38460,38520,1001
38520,38580,1035
38580,38640,1068
38640,38700,1102
38700,38760,982
38760,38820,1016
38820,38880,1049
38880,38940,1051
38940,39000,1084
39000,39060,997
39060,39120,1030
39120,39180,1032
39180,39240,1065
39240,39300,978
39300,39360,1011
39360,39420,1013
39420,39480,1046
39480,39540,959
39540,39600,992
39600,39660,994
39660,39720,1027
39720,39780,940
39780,39840,973
39840,39900,975
39900,39960,1008
39960,40020,1042
40020,40080,954
40080,40140,955
40140,40200,989
40200,40260,1022
40260,40320,935
40320,40380,936
40380,40440,970
40440,40500,1003
40500,40560,916
40560,40620,917
40620,40680,950
40680,40740,984
40740,40800,896
40800,40860,898
40860,40920,931
40920,40980,965
40980,41040,998
41040,41100,999
41100,41160,912
41160,41220,945
41220,41280,979
41280,41340,980
41340,41400,892
41400,41460,926
41460,41520,927
41520,41580,961
41580,41640,873
41640,41700,906
41700,41760,908
41760,41820,941
41820,41880,854
41880,41940,887
41940,42000,888
42000,42060,922
42060,42120,955
42120,42180,868
42180,42240,869
42240,42300,902
42300,42360,936
42360,42420,848
42420,42480,850
42480,42540,883
42540,42600,916
42600,42660,829
42660,42720,830
42720,42780,863
42780,42840,897
42840,42900,809
42900,42960,811
42960,43020,844
43020,43080,877
43080,43140,911
43140,43200,912
